5,iuh,jgh,NULL,ig⇥iogh,iuh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,6/21/17 4:42
6,Shane Hurlbut A.S.C.,NULL,NULL,"Shane Hurlbut (born 1964), also credited as L. Shane Hurlbut,[2] is an American cinematographer. Originally from Ithaca, New York, he grew up near Cayuga Lake, and graduated from Southern Cayuga High School in 1982. Hurlbut studied film at Emerson College, graduating with a degree in film and television in 1986. His early career included work on music videos for Gloria Estefan and Smashing Pumpkins. He met director Rob Cohen while working on a music video for the 1996 disaster film Daylight, and again worked with Cohen as cinematographer for the television pilot of The Guardian.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
↵Hurlbut received a nomination for an award from the American Society of Cinematographers for his work as director of cinematography on the 1998 television movie The Rat Pack – he was the youngest cinematographer ever to have been nominated for an American Society of Cinematographers award for a debut film.,,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵He has received positive comments from film critics for his cinematography work on films including Drumline and Mr. 3000, and in a review of the film Into the Blue Roger Ebert highlighted Hurlbut's work. In a review of the 2005 film The Greatest Game Ever Played Joan E. Vadeboncoeur of The Post-Standard described Hurlbut as a ""splendid cinematographer"" who contributed ""beauty and atmosphere"" to the film's shots. His work on the 2006 romantic comedy Something New where he collaborated with director Sanaa Hamri was positively received in The Times-Picayune and The Journal News, and his cinematography work on the 2006 film Waist Deep with director Vondie Curtis-Hall was well received in The Seattle Times.",shane-hurlbut-a-s-c,http://www.thehurlblog.com,https://twitter.com/shanehurlbutasc,https://www.facebook.com/shanehurlbutasc,https://www.instagram.com/shanehurlbutasc,https://www.youtube.com/user/HurlbutVisualsLA,https://vimeo.com/hurlbutvisuals,images/educators/3b080defc2fa28d4d99698643145b473.jpg,1,6/21/17 6:16,6/21/17 10:13,6/21/17 10:13,,,,
7,Philip Bloom,Filmmaker,"Philip Bloom is a world-renowned filmmaker who has shot feature film, factual news and documentary. With a career spanning more than three decades, the past 10 years have seen him specialize in creating incredible cinematic images with a myriad of cameras.","Philip Bloom is a world-renowned filmmaker who, for the past 10 years of his 30-plus year career has specialized in creating incredible cinematic images no matter what the camera. As one of the biggest evangelists for the use of smaller DSLR cameras in productions his website is the go-to resource for both emerging filmmakers and established professionals looking to embrace new technologies.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵His credits include the Lucasfilm feature film “Red Tails” as well as CNN series “The Wonder List” in addition to shooting for broadcasters all over the globe including the BBC, ITV, C4, Sky, CNN, CBS, Discovery, FOX and NBC. ",philip-bloom,http://www.philipbloom.net,https://www.twitter.com/philipbloom,https://www.facebook.com/philipbloom/,https://www.instagram.com/philipbloom/,https://www.youtube.com/channel/UCcM_6ay33BNpChknCrMCgig,https://vimeo.com/philipbloom,images/educators/0c9a66c39d82463270583218c40491b3.jpg,1,6/21/17 10:22,6/27/17 13:50,NULL,,,,
8,Mark Edward Lewis,"Sound Designer, Composer, Filmmaker","There are few titles that sum up Mark’s vast knowledge of the audio discipline, short of “genius”. A veteran Sound Designer, Composer and Mixer, Mark draws on his own experiences as a Writer, Producer and Director to help other Filmmakers understand the art and science of sound.","After nearly 30 years of writing and producing musical scores, re-recording mixing, developing sound design, editing, writing and directing, Mark Edward Lewis has a unique perspective on how to create high production value for independent productions.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵What makes Mark an invaluable resource is his mastery of all aspects of audio production. One of the new breed of directors who approaches storytelling from an “audio first” perspective, Mark’s projects have a flow, pacing and emotional impact that few directors possess. Always strongly adhering to the axiom, “Post production begins in pre-production” Mark has righted many adrift productions with his organization, creativity, ingenuity, and cross-discipline experience.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Mark has worked professionally in nearly every area of production and post production including event development, most recently as a post-production supervisor on the Avenger’s S.T.A.T.I.O.N. with Frank Serafine. In 2016, he was the main presenter for the “Sound Advice” tour in North America and Australia where he taught over 1,200 filmmakers about improving their production value with better sound.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Mark is also a published writer on the subject of live audio mixing with his book “Audio Mixer’s Secret Handbook: Live Audio Alchemy”. He currently martials his deep knowledge of post production and works in Los Angeles as both a filmmaker and producer of episodic series, currently directing and producing the sci-fi series “Blade of Honor” and the supernatural Western ""Silver City."".",mark-edward-lewis,https://www.cinemasound.com/,http://www.twitter.com/cinemasound_,http://www.facebook.com/mzedcinemasound,http://www.instagram.com/cinemasound_,https://www.youtube.com/channel/UCju_G2lzHMsfuxBwUgtMrNw,https://vimeo.com/cinemasound,images/educators/acb85d303d79162856941429beb362d2.jpg,1,6/21/17 12:18,8/8/18 2:44,NULL,,,,
