What course topics are you most interested in?,Which AI filmmaking tools are you most interested in learning? (select all that apply),Would you be interested in submitting your own short course to MZed?,"If MZed opened up course creation to the community, what would motivate you to create a course? (select all that apply)",What topics could YOU teach a 30-60 minute course on?,How important is it that MZed courses come from established professionals vs. emerging creators?,Would you use a feature where the community votes on what courses should be created next?,What specific course or instructor would make you subscribe immediately?,What frustrates you most about current filmmaking education options?,Is there anything else you'd like to share with the MZed team?
Animation & Motion Graphics,Not interested in AI tools,"No, I'm not interested",I wouldn't be interested in creating courses,none,Somewhat important - I prefer professionals but open to others,"No, I trust MZed to curate content",,,
"Documentary filmmaking, Editing, Cinematography, Screenwriting, Virtual Production, Business of Filmmaking, Narrative filmmaking, Directing, Lighting, Acting & Performance, Photography, Unreal Engine for Filmmakers, Color Grading, AI Tools & Workflows","Generative video AI (Runway, Pika, etc.), AI color grading tools","Maybe, if I knew more about the process",Sharing my expertise with the community,subconscious cinematography ,Not important - good content matters more than credentials,"Yes, and I would actively participate in voting",Roger deakins or greg frazier course ,Nothing ,No
"Color Grading, Corporate video production, Editing, Lighting, Video Interview and Production","AI motion tracking, AI background removal","No, but I'd watch community-created courses","Sharing my expertise with the community, Promotion on CineD.com and social channels, Free MZed Pro membership","For live production, it would be basics and advanced video switcher course. For video production, it would be basics on color grading and the pipeline.",Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",Anything on Davinci Resolve or lighting a scene for different scenarios.,I think there are a lot of content creators that are not actually working much in their industry.,
"AI Tools & Workflows, Cinematography, Video Interview and Production, Color Grading, Unreal Engine for Filmmakers, Screenwriting, Producing, Content Creation (Youtube, TikTok, Reels), Corporate video production, Virtual Production, Editing, Lighting, Animation & Motion Graphics","AI video editing assistants, AI color grading tools","Maybe, if I knew more about the process","Revenue share/royalties from course views, Free MZed Pro membership, Gear/software giveaways, Building my personal brand/following, Sharing my expertise with the community",Corporate media production?,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often","There's so many aspects to davinci or adobe, I would want course to focus on just those niche avenues",,"fix the ipad app, I'm not renewing my account with this problem"
"Unreal Engine for Filmmakers, Corporate video production, Lighting, Audio / Sound Design, Color Grading, Animation & Motion Graphics","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI color grading tools, AI voice cloning/dubbing, AI upscaling/restoration, AI motion tracking","No, I'm not interested","Revenue share/royalties from course views, Gear/software giveaways",not sure,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",-,-,I believe i'm not the audience for this kind of product. But I'm really proud to know yu are investing in it. That could be helpful to lots of people.
Narrative filmmaking,AI video editing assistants,"Maybe, if I knew more about the process",Free MZed Pro membership,photography,I prefer a mix of both,"Yes, but I probably wouldn't vote often",,,
"Color Grading, Screenwriting, Cinematography",Not interested in AI tools,"No, but I'd watch community-created courses",Revenue share/royalties from course views,Editing Podcasts,Very important - I only want courses from industry veterans,"Yes, but I probably wouldn't vote often",,,
"Unreal Engine for Filmmakers, AI Tools & Workflows, Documentary filmmaking, Animation & Motion Graphics, Content Creation (Youtube, TikTok, Reels), Color Grading, Directing, Lighting, Cinematography, Business of Filmmaking, Producing, Acting & Performance, Professional Software Deep-dives, Narrative filmmaking, Career Development & Freelancing, Photography, Audio / Sound Design, Virtual Production, Editing, Video Interview and Production, Drone Operations, Podcast Interview and Production, Screenwriting, Corporate video production","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI color grading tools, AI scriptwriting/storyboarding, AI voice cloning/dubbing, AI upscaling/restoration, AI background removal, AI motion tracking","No, but I'd watch community-created courses",I wouldn't be interested in creating courses,N/A,I prefer a mix of both,"Yes, and I would actively participate in voting",?...,Nothing new. Everything is on YouTube.,
"Cinematography, Virtual Production, Lighting, Unreal Engine for Filmmakers, Animation & Motion Graphics","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI color grading tools, AI scriptwriting/storyboarding, AI voice cloning/dubbing, AI background removal, AI motion tracking","Maybe, if I knew more about the process","Revenue share/royalties from course views, Gear/software giveaways, Sharing my expertise with the community",Modern Audio mixing/mastering workflow but tailored to video makers.,Somewhat important - I prefer professionals but open to others,"No, I trust MZed to curate content","I seek out people who actually know what they're talking about - for instance, Cullen Kelly is great as far color grading - he know's how to actually grade vs hearing things from other people and saying what they heard.

Back in the day, for learning Photoshop, Scott Kelby was the guy to learn from because he helped develop PS, and therefore new the newest, best, and most modern ways to operate in a program that still has way too many legacy features...","Many of them talk too much, or don't really know what they're talking about.",Thanks 👍
"Narrative filmmaking, Color Grading, Documentary filmmaking, Cinematography, Business of Filmmaking, Screenwriting, Producing, Photography, Directing, Lighting","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI voice cloning/dubbing, AI background removal, AI motion tracking","Maybe, if I knew more about the process","Revenue share/royalties from course views, Gear/software giveaways, Building my personal brand/following",Filmmaking for educators.,Not important - good content matters more than credentials,"Yes, and I would actively participate in voting",,,
